ROWID,Country,State lgd code,State,YearCode,Year,Type of area,Gender,Highest level of education completed,Percentage distribution of persons,Number of estimated persons ,Number of sample persons,Number of estimated persons excluding,Number of estimated persons including,Number of sample persons excluding,Number of sample persons including
1,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Diploma/Certificate Course,0.1,27058.90145639646341070240,3128.04969843680921007180,,,,
2,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Graduate,3.1,27058.90145639646341070240,3128.04969843680921007180,,,,
3,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Higher Secondary,8.9,27058.90145639646341070240,3128.04969843680921007180,,,,
4,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Literate & Upto Primary,11.6,27058.90145639646341070240,3128.04969843680921007180,,,,
5,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Middle,23.2,27058.90145639646341070240,3128.04969843680921007180,,,,
6,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Not Literate,38.9,27058.90145639646341070240,3128.04969843680921007180,,,,
7,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Post Graduate & Above,1.5,27058.90145639646341070240,3128.04969843680921007180,,,,
8,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Secondary,12.6,27058.90145639646341070240,3128.04969843680921007180,,,,
9,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Secondary & Above,26.2,27058.90145639646341070240,3128.04969843680921007180,,,,
10,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Diploma/Certificate Course,0.6,29677.34706074772615471810,3488.00038293485354694060,,,,
11,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Graduate,6.1,29677.34706074772615471810,3488.00038293485354694060,,,,
12,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Higher Secondary,12.9,29677.34706074772615471810,3488.00038293485354694060,,,,
13,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Literate & Upto Primary,10.6,29677.34706074772615471810,3488.00038293485354694060,,,,
14,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Middle,29.5,29677.34706074772615471810,3488.00038293485354694060,,,,
15,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Not Literate,16.1,29677.34706074772615471810,3488.00038293485354694060,,,,
16,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Post Graduate & Above,3.2,29677.34706074772615471810,3488.00038293485354694060,,,,
17,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Secondary,20.9,29677.34706074772615471810,3488.00038293485354694060,,,,
18,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Secondary & Above,43.7,29677.34706074772615471810,3488.00038293485354694060,,,,
19,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Diploma/Certificate Course,0.4,56736.24851714418956542050,6616.05008137166275701240,,,,
20,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Graduate,4.7,56736.24851714418956542050,6616.05008137166275701240,,,,
21,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Higher Secondary,11,56736.24851714418956542050,6616.05008137166275701240,,,,
22,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Literate & Upto Primary,11.1,56736.24851714418956542050,6616.05008137166275701240,,,,
23,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Middle,26.5,56736.24851714418956542050,6616.05008137166275701240,,,,
24,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Not Literate,27,56736.24851714418956542050,6616.05008137166275701240,,,,
25,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Post Graduate & Above,2.4,56736.24851714418956542050,6616.05008137166275701240,,,,
26,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Secondary,16.9,56736.24851714418956542050,6616.05008137166275701240,,,,
27,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural,Persons,Secondary & Above,35.4,56736.24851714418956542050,6616.05008137166275701240,,,,
28,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Diploma/Certificate Course,0.2,35040.41663439657696735840,5561.62932623880461803260,,,,
29,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Graduate,5.1,35040.41663439657696735840,5561.62932623880461803260,,,,
30,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Higher Secondary,9.8,35040.41663439657696735840,5561.62932623880461803260,,,,
31,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Literate & Upto Primary,10.7,35040.41663439657696735840,5561.62932623880461803260,,,,
32,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Middle,22.5,35040.41663439657696735840,5561.62932623880461803260,,,,
33,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Not Literate,35.6,35040.41663439657696735840,5561.62932623880461803260,,,,
34,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Post Graduate & Above,3,35040.41663439657696735840,5561.62932623880461803260,,,,
35,India,1,Jammu And Kashmir,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Female,Secondary,13.1,35040.41663439657696735840,5561.62932623880461803260,,,,
